;id_sn;id;name;reposts;location;created;followers;is_user_verified;mesg;name_related;location_related;Zona
0;TWITER;1,32155E+18;Saludtarapaca;7;Aníbal Pinto 815, Iquique;28-10-2020 20:12:13;8503;FALSO;RT @SeremiSalud_I: ??En el marco de la Búsqueda Activa Comunitaria (BAC), el equipo de salud de @IquiqueDeTodos trabaja junto a @SeremiSalud…;;;
1;TWITER;1,32154E+18;Saludtarapaca;3;Aníbal Pinto 815, Iquique;28-10-2020 19:32:10;8503;FALSO;"RT @SeremiSalud_I: ¡Feliz día a todos los funcionarios municipales! ??????

Muchas gracias por su dedicación y compromiso??, especialmente en l…";;;
2;TWITER;1,32152E+18;Saludtarapaca;4;Aníbal Pinto 815, Iquique;28-10-2020 18:46:19;8503;FALSO;RT @MinjudhTarapaca: ?El Seremi @MinjudhTarapaca junto al Encargado de la Comisión de Género sector Justicia, participaron de Charla “La in…;;;
3;TWITER;1,32152E+18;Saludtarapaca;9;Aníbal Pinto 815, Iquique;28-10-2020 18:28:50;8503;FALSO;RT @pdazan: Recomendaciones de autocuidado, escuchando y dando respuestas a las dudas de la gente son las principales misiones de las #Cuad…;;;
4;TWITER;1,32152E+18;Saludtarapaca;2;Aníbal Pinto 815, Iquique;28-10-2020 18:28:34;8503;FALSO;RT @INDAP_Tarapaca: Recordamos al cierre de este mes las actividades de celebración del XII Aniversario del #DíaInternacionaldelaMujerRural…;;;
5;TWITER;1,32152E+18;Saludtarapaca;7;Aníbal Pinto 815, Iquique;28-10-2020 18:28:25;8503;FALSO;RT @IPSTarapaca: #CuidémonosEntreTodos - Hoy visitaron nuestras sucursal de #Iquique funcionarios de la @SeremiSalud_I, quienes evaluaron p…;;;
6;TWITER;1,32152E+18;Saludtarapaca;6;Aníbal Pinto 815, Iquique;28-10-2020 18:28:6;8503;FALSO;RT @seremieduc01: Hoy se realizó la primera sesión del consejo asesor Abrir las Escuelas paso a paso 2020-2021 ???? del @Mineduc, cuyo objeti…;;;
7;TWITER;1,32152E+18;Saludtarapaca;16;Aníbal Pinto 815, Iquique;28-10-2020 18:25:16;8503;FALSO;"RT @Gore_Tarapaca: CASOS EN #TARAPACÁ ?? | Revisa las cifras entregadas por la autoridad sanitaria de este  miércoles 28 de octubre. ????

#Iq…";;;
8;TWITER;1,3215E+18;Saludtarapaca;2;Aníbal Pinto 815, Iquique;28-10-2020 17:3:18;8503;FALSO;"RT @SSaludOsorno: Continuando con el espacio semanal de Atención Primaria del @SSaludOsorno por @RadioSago, hoy es el turno de ""Estrategia…";;;
9;TWITER;1,3215E+18;Saludtarapaca;3;Aníbal Pinto 815, Iquique;28-10-2020 17:2:59;8503;FALSO;RT @SSDelReloncavi: Saludamos al Hospital de Llanquihue y a sus funcionarios en su aniversario número 54. Destacar la labor, entrega y comp…;;;
10;TWITER;1,3215E+18;Saludtarapaca;8;Aníbal Pinto 815, Iquique;28-10-2020 17:1:55;8503;FALSO;RT @TarapacaBBNN: ?Recordamos que mañana se recepcionan las ofertas para la licitación de cinco inmuebles en La Tirana, que buscan potencia…;;;
11;TWITER;1,3215E+18;Saludtarapaca;4;Aníbal Pinto 815, Iquique;28-10-2020 17:1:41;8503;FALSO;RT @IPSTarapaca: #CuidémonosEntreTodos - Nuestra DR @PBoyardi y la Seremi del Trabajo @cibel_jimenez, se reúnen en estos momentos para visu…;;;
12;TWITER;1,3215E+18;Saludtarapaca;2;Aníbal Pinto 815, Iquique;28-10-2020 17:0:7;8503;FALSO;RT @red_alto: En el Día del Funcionario Municipal saludamos a todos aquellos trabajadores que hoy 28 de octubre conmemoran su día, quienes…;;;
13;TWITER;1,32146E+18;Saludtarapaca;73;Aníbal Pinto 815, Iquique;28-10-2020 14:51:24;8503;FALSO;"RT @ministeriosalud: [HILO] Balance Diario #COVID_19 – miércoles 28 de octubre

El Ministerio de Salud informa los casos totales confirmado…";;;
14;TWITER;1,32146E+18;Saludtarapaca;2;Aníbal Pinto 815, Iquique;28-10-2020 14:50:41;8503;FALSO;RT @red_alto: Hasta las 12 hrs, la Red de Atención Primaria de Salud estará realizando  un operativo PCR en explanada gimnasio municipal, u…;;;
15;TWITER;1,32146E+18;Saludtarapaca;10;Aníbal Pinto 815, Iquique;28-10-2020 14:48:23;8503;FALSO;RT @SeremiSalud_I: ???????????????En un trabajo conjunto entre @SeremiSalud_I y @Saludtarapaca, realizamos un operativo para realizar exámenes de…;;;
16;TWITER;1,32143E+18;Saludtarapaca;1;Aníbal Pinto 815, Iquique;28-10-2020 12:45:41;8503;FALSO;RT @Cenabast: ¿Eres usuario de Cenabast? Revisa aquí cómo comunicarte con nosotros, a partir de esta emergencia sanitaria: https://t.co/0oO…;;;
17;TWITER;1,32142E+18;Saludtarapaca;11;Aníbal Pinto 815, Iquique;28-10-2020 12:11:23;8503;FALSO;RT @RCivil_Tarapaca: Como cada miércoles, hoy en Oficina de Sotomayor 708 en #Iquique entregamos orientación en materias de derecho sucesor…;;;
18;TWITER;1,32142E+18;Saludtarapaca;7;Aníbal Pinto 815, Iquique;28-10-2020 12:11:10;8503;FALSO;RT @seremieduc01: Seremi @clacham en entrevista por radio @lamegafmiqq ??? para informar sobre el trabajo entre @Mineduc y @UNESCO para apoy…;;;
19;TWITER;1,32142E+18;Saludtarapaca;9;Aníbal Pinto 815, Iquique;28-10-2020 12:11:2;8503;FALSO;RT @minvutarapaca: ?? ¡¡RECUERDA!! Hasta el viernes 30 de octubre a las 14 horas, hay que contar con el ahorro en la cuenta para la vivienda…;;;
20;TWITER;1,32142E+18;Saludtarapaca;8;Aníbal Pinto 815, Iquique;28-10-2020 12:10:39;8503;FALSO;RT @Sencetarapaca: ?? EN VIVO | Este jueves 29 responderemos todas tus preguntas sobre el #SubsidioAlEmpleo. Conéctate a las 14.30 horas a l…;;;
21;TWITER;1,32119E+18;Saludtarapaca;5;Aníbal Pinto 815, Iquique;27-10-2020 20:51:58;8503;FALSO;RT @SeremiSalud_I: ???? Revisamos la situación de los migrantes en #Huara para garantizar las condiciones sanitarias y el cumplimiento de c…;;;
22;TWITER;1,32119E+18;Saludtarapaca;4;Aníbal Pinto 815, Iquique;27-10-2020 20:35:1;8503;FALSO;RT @INDAP_Tarapaca: Cerramos nuestra Gira Técnica de la #MesadelaMujerRural en el Centro de Investigación y Desarrollo del municipio @pozoa…;;;
23;TWITER;1,32118E+18;Saludtarapaca;12;Aníbal Pinto 815, Iquique;27-10-2020 20:9:31;8503;FALSO;"RT @Salud_Responde: Campaña #VacunaciónContraElSarampión
Cada 5 años nuestro país refuerza la protección contra esta enfermedad con una dos…";;;
24;TWITER;1,32118E+18;Saludtarapaca;3;Aníbal Pinto 815, Iquique;27-10-2020 20:9:21;8503;FALSO;RT @Cenabast: En este momento, conversamos con nuestros usuarios de Servicios de Salud, hospitales de baja y mediana complejidad, para prof…;;;
25;TWITER;1,32117E+18;Saludtarapaca;12;Aníbal Pinto 815, Iquique;27-10-2020 19:35:30;8503;FALSO;"#CuidemonosEntreTodos Desde el Servicio de #Salud #Iquique en conjunto con @Hospitaliquique trabajamos comprometidos en la reducción de las listas de espera.
@ministeriosalud @arturozunigaj @ATapiaC @MAngelQuezada @Manuel_Fdez_Ib @AlvaroJofre @SeremiSalud_I @Gore_Tarapaca https://t.co/Duj4J9dMqn";;;
26;TWITER;1,32117E+18;Saludtarapaca;6;Aníbal Pinto 815, Iquique;27-10-2020 19:23:26;8503;FALSO;RT @IPSTarapaca: #IPSenTerreno - Nuestra DR @PBoyardi se reúne en estos momentos con el Gobernador del #Tamarugal, @Jussef_Araya, para conv…;;;
27;TWITER;1,32117E+18;Saludtarapaca;7;Aníbal Pinto 815, Iquique;27-10-2020 19:23:17;8503;FALSO;RT @INDAP_Tarapaca: Continuando en nuestra Gira Técnica en el #Tamarugal de la #MesadelaMujerRural la siguiente parada fue conocer el empre…;;;
28;TWITER;1,32117E+18;Saludtarapaca;8;Aníbal Pinto 815, Iquique;27-10-2020 19:23:9;8503;FALSO;RT @IPSTarapaca: #IPSenTerreno - Nuestra DR @PBoyardi visita nuestra sucursal en #PozoAlmonte para verificar en terreno las medidas sanitar…;;;
29;TWITER;1,32117E+18;Saludtarapaca;8;Aníbal Pinto 815, Iquique;27-10-2020 19:22:56;8503;FALSO;RT @INDAP_Tarapaca: En el marco de la Gira Técnica en el #Tamarugal de la #MesadelaMujerRural iniciamos el recorrido con la apicultora ????Ma…;;;
30;TWITER;1,32117E+18;Saludtarapaca;7;Aníbal Pinto 815, Iquique;27-10-2020 19:22:45;8503;FALSO;RT @Tamarugalgob: Hoy el Gobernador del #Tamarugal @Jussef_Araya realizó entrega del fondo ORASMI a Bárbara, una joven Pozo Almontina que r…;;;
31;TWITER;1,32117E+18;Saludtarapaca;7;Aníbal Pinto 815, Iquique;27-10-2020 19:22:31;8503;FALSO;RT @seremieduc01: Canal @RTC_TELEVISION ??registró atención presencial a apoderados en oficina regional de Ayuda @Mineduc. Seremi @clacham r…;;;
32;TWITER;1,32116E+18;Saludtarapaca;3;Aníbal Pinto 815, Iquique;27-10-2020 18:43:33;8503;FALSO;RT @Cenabast: Durante esta tarde comenzamos el ciclo de videoconferencias con los usuarios de la red de salud, para tratar importantes tema…;;;
33;TWITER;1,32116E+18;Saludtarapaca;35;Aníbal Pinto 815, Iquique;27-10-2020 18:43:19;8503;FALSO;RT @Senda_Tarapaca: @DirectorSenda Claudio Jiménez participa en reunión de trabajo del Colegio Rupanic de #AltoHospicio, junto al equipo ed…;;;
34;TWITER;1,32116E+18;Saludtarapaca;17;Aníbal Pinto 815, Iquique;27-10-2020 18:43:5;8503;FALSO;"RT @Gore_Tarapaca: CASOS EN #TARAPACÁ ?? | Revisa las cifras entregadas por la autoridad sanitaria de este  martes 27 de octubre. ????

#Iquiq…";;;
35;TWITER;1,32112E+18;Saludtarapaca;6;Aníbal Pinto 815, Iquique;27-10-2020 16:9:36;8503;FALSO;RT @INDAP_Tarapaca: Hoy en el marco de la #MesadelaMujerRural nos encontramos en una Gira Técnica en el #Tamarugal para que las mujeres de…;;;
36;TWITER;1,32112E+18;Saludtarapaca;7;Aníbal Pinto 815, Iquique;27-10-2020 15:51:9;8503;FALSO;RT @MTTTarapaca: #MTTInforma Esta semana finaliza el plazo para  vehículos con patentes terminadas en 3?? y 4?? que deben renovar su #Revis…;;;
